"State","year","vals","state_name","code"
"AL",2010,16.74658585,"Alabama","AL"
"AL",2003,14.65053749,"Alabama","AL"
"AL",2011,16.14173126,"Alabama","AL"
"AL",2008,17.85739899,"Alabama","AL"
"AL",2009,15.33664799,"Alabama","AL"
"AL",2013,14.54250717,"Alabama","AL"
"AL",2006,20.4224472,"Alabama","AL"
"AL",2004,16.12270927,"Alabama","AL"
"AL",2012,16.65284157,"Alabama","AL"
"AL",2007,19.98053169,"Alabama","AL"
"AL",2005,18.47659492,"Alabama","AL"
"AL",2002,14.14912605,"Alabama","AL"
"AL",2001,14.74911404,"Alabama","AL"
"AK",2010,12.306077,"Alaska","AK"
"AK",2012,12.96111774,"Alaska","AK"
"AK",2011,11.57385254,"Alaska","AK"
"AK",2013,11.1204586,"Alaska","AK"
"AK",2003,11.13944244,"Alaska","AK"
"AK",2006,13.39634705,"Alaska","AK"
"AK",2001,10.30705166,"Alaska","AK"
"AK",2004,11.81898785,"Alaska","AK"
"AK",2002,10.22462559,"Alaska","AK"
"AK",2008,13.88281822,"Alaska","AK"
"AK",2007,13.90085888,"Alaska","AK"
"AK",2005,12.46887112,"Alaska","AK"
"AK",2009,12.38206482,"Alaska","AK"
"AZ",2010,16.86220551,"Arizona","AZ"
"AZ",2013,16.35735893,"Arizona","AZ"
"AZ",2012,18.45410728,"Arizona","AZ"
"AZ",2011,16.65009499,"Arizona","AZ"
"AZ",2003,15.98351765,"Arizona","AZ"
"AZ",2004,19.41508865,"Arizona","AZ"
"AZ",2006,23.07547569,"Arizona","AZ"
"AZ",2007,21.63524628,"Arizona","AZ"
"AZ",2001,15.83571339,"Arizona","AZ"
"AZ",2009,16.12789726,"Arizona","AZ"
"AZ",2008,18.00382996,"Arizona","AZ"
"AZ",2002,14.88185692,"Arizona","AZ"
"AZ",2005,22.66134071,"Arizona","AZ"
"AR",2003,14.28219509,"Arkansas","AR"
"AR",2011,17.6618557,"Arkansas","AR"
"AR",2010,17.43770218,"Arkansas","AR"
"AR",2013,17.07005882,"Arkansas","AR"
"AR",2012,21.046875,"Arkansas","AR"
"AR",2006,16.44952965,"Arkansas","AR"
"AR",2004,15.5980444,"Arkansas","AR"
"AR",2007,17.38990021,"Arkansas","AR"
"AR",2005,16.67526817,"Arkansas","AR"
"AR",2002,14.23564434,"Arkansas","AR"
"AR",2008,16.99254227,"Arkansas","AR"
"AR",2001,14.88570023,"Arkansas","AR"
"AR",2009,17.30979729,"Arkansas","AR"
"CA",2010,22.0317955,"California","CA"
"CA",2011,21.50404358,"California","CA"
"CA",2012,26.38096428,"California","CA"
"CA",2003,19.0779686,"California","CA"
"CA",2006,24.02518272,"California","CA"
"CA",2013,22.71503448,"California","CA"
"CA",2007,24.60083199,"California","CA"
"CA",2004,21.68177032,"California","CA"
"CA",2002,17.68755722,"California","CA"
"CA",2008,20.67294502,"California","CA"
"CA",2005,24.20210838,"California","CA"
"CA",2001,20.07935524,"California","CA"
"CA",2009,18.77615166,"California","CA"
"CO",2006,21.30145264,"Colorado","CO"
"CO",2012,21.24749184,"Colorado","CO"
"CO",2011,18.78556442,"Colorado","CO"
"CO",2010,17.63902283,"Colorado","CO"
"CO",2003,15.47705269,"Colorado","CO"
"CO",2013,16.91086006,"Colorado","CO"
"CO",2004,18.11749268,"Colorado","CO"
"CO",2008,18.06598091,"Colorado","CO"
"CO",2007,21.2737751,"Colorado","CO"
"CO",2002,15.00291348,"Colorado","CO"
"CO",2001,16.48262405,"Colorado","CO"
"CO",2009,15.40491867,"Colorado","CO"
"CO",2005,19.56089401,"Colorado","CO"
"CT",2003,25.50709724,"Connecticut","CT"
"CT",2010,32.70521164,"Connecticut","CT"
"CT",2005,31.01522827,"Connecticut","CT"
"CT",2004,28.55860519,"Connecticut","CT"
"CT",2013,30.82683372,"Connecticut","CT"
"CT",2002,23.8102417,"Connecticut","CT"
"CT",2008,29.42872429,"Connecticut","CT"
"CT",2007,36.06892014,"Connecticut","CT"
"CT",2011,29.90021133,"Connecticut","CT"
"CT",2006,31.74642181,"Connecticut","CT"
"CT",2001,29.65802574,"Connecticut","CT"
"CT",2009,26.75094414,"Connecticut","CT"
"CT",2012,34.42226028,"Connecticut","CT"
"DE",2010,13.33821869,"Delaware","DE"
"DE",2012,15.13509083,"Delaware","DE"
"DE",2008,16.3303051,"Delaware","DE"
"DE",2006,19.1362648,"Delaware","DE"
"DE",2011,13.58699799,"Delaware","DE"
"DE",2003,15.0870657,"Delaware","DE"
"DE",2005,21.38478279,"Delaware","DE"
"DE",2004,18.37724304,"Delaware","DE"
"DE",2009,13.90790844,"Delaware","DE"
"DE",2013,13.2539978,"Delaware","DE"
"DE",2007,18.70779991,"Delaware","DE"
"DE",2002,14.15916634,"Delaware","DE"
"DE",2001,14.85995579,"Delaware","DE"
"DC",2007,25.02799606,"District of Columbia","DC"
"DC",2006,23.7484684,"District of Columbia","DC"
"DC",2003,21.49863434,"District of Columbia","DC"
"DC",2008,19.78139305,"District of Columbia","DC"
"DC",2004,22.26527786,"District of Columbia","DC"
"DC",2009,20.14299011,"District of Columbia","DC"
"DC",2005,23.94168282,"District of Columbia","DC"
"DC",2010,20.34712219,"District of Columbia","DC"
"DC",2012,25.09031487,"District of Columbia","DC"
"DC",2011,19.89113426,"District of Columbia","DC"
"DC",2001,21.89526367,"District of Columbia","DC"
"DC",2013,19.64234543,"District of Columbia","DC"
"DC",2002,19.34389877,"District of Columbia","DC"
"FL",2010,23.63547134,"Florida","FL"
"FL",2003,20.71779633,"Florida","FL"
"FL",2011,24.64322472,"Florida","FL"
"FL",2004,26.55436707,"Florida","FL"
"FL",2013,25.76969147,"Florida","FL"
"FL",2005,31.77565575,"Florida","FL"
"FL",2012,30.45129395,"Florida","FL"
"FL",2006,31.24887085,"Florida","FL"
"FL",2001,21.86517906,"Florida","FL"
"FL",2009,22.7454319,"Florida","FL"
"FL",2007,30.38053703,"Florida","FL"
"FL",2008,25.66654587,"Florida","FL"
"FL",2002,20.86450577,"Florida","FL"
"GA",2003,15.35905266,"Georgia","GA"
"GA",2010,16.41736984,"Georgia","GA"
"GA",2005,19.11416817,"Georgia","GA"
"GA",2004,17.0388546,"Georgia","GA"
"GA",2013,16.63133049,"Georgia","GA"
"GA",2011,16.18751907,"Georgia","GA"
"GA",2001,15.74638844,"Georgia","GA"
"GA",2006,20.32284164,"Georgia","GA"
"GA",2009,15.90088654,"Georgia","GA"
"GA",2007,20.25424957,"Georgia","GA"
"GA",2002,14.90276718,"Georgia","GA"
"GA",2008,17.40136528,"Georgia","GA"
"GA",2012,18.21327019,"Georgia","GA"
"HI",2004,14.22119713,"Hawaii","HI"
"HI",2010,11.28796864,"Hawaii","HI"
"HI",2003,12.66214275,"Hawaii","HI"
"HI",2011,10.6200428,"Hawaii","HI"
"HI",2005,16.46945763,"Hawaii","HI"
"HI",2013,11.36043644,"Hawaii","HI"
"HI",2007,15.68442345,"Hawaii","HI"
"HI",2002,11.43761921,"Hawaii","HI"
"HI",2012,12.45974731,"Hawaii","HI"
"HI",2009,12.90836143,"Hawaii","HI"
"HI",2008,13.43128109,"Hawaii","HI"
"HI",2006,15.99513626,"Hawaii","HI"
"HI",2001,12.53203106,"Hawaii","HI"
"ID",2010,13.92567062,"Idaho","ID"
"ID",2011,14.09327126,"Idaho","ID"
"ID",2012,17.23548889,"Idaho","ID"
"ID",2013,14.03557873,"Idaho","ID"
"ID",2003,13.1046114,"Idaho","ID"
"ID",2006,20.46384048,"Idaho","ID"
"ID",2005,18.07865143,"Idaho","ID"
"ID",2002,12.29884815,"Idaho","ID"
"ID",2004,15.16709518,"Idaho","ID"
"ID",2001,13.14336395,"Idaho","ID"
"ID",2008,16.416502,"Idaho","ID"
"ID",2009,13.65451908,"Idaho","ID"
"ID",2007,18.83594894,"Idaho","ID"
"IL",2010,20.44235992,"Illinois","IL"
"IL",2011,19.81990051,"Illinois","IL"
"IL",2012,23.14178848,"Illinois","IL"
"IL",2009,18.40563583,"Illinois","IL"
"IL",2003,17.97319412,"Illinois","IL"
"IL",2007,24.6860733,"Illinois","IL"
"IL",2002,17.44619942,"Illinois","IL"
"IL",2006,22.94748306,"Illinois","IL"
"IL",2013,20.17593002,"Illinois","IL"
"IL",2005,21.67287827,"Illinois","IL"
"IL",2001,17.83065224,"Illinois","IL"
"IL",2004,20.08929825,"Illinois","IL"
"IL",2008,22.0028038,"Illinois","IL"
"IN",2011,14.16466808,"Indiana","IN"
"IN",2010,14.10284233,"Indiana","IN"
"IN",2012,15.40668488,"Indiana","IN"
"IN",2003,13.47205448,"Indiana","IN"
"IN",2002,13.05099392,"Indiana","IN"
"IN",2006,16.3214798,"Indiana","IN"
"IN",2005,15.52481079,"Indiana","IN"
"IN",2009,13.66133595,"Indiana","IN"
"IN",2013,13.95073414,"Indiana","IN"
"IN",2001,13.4227066,"Indiana","IN"
"IN",2004,14.31563854,"Indiana","IN"
"IN",2008,14.45767117,"Indiana","IN"
"IN",2007,16.56783485,"Indiana","IN"
"IA",2012,14.55536366,"Iowa","IA"
"IA",2011,11.76600075,"Iowa","IA"
"IA",2010,12.09999561,"Iowa","IA"
"IA",2003,11.60253906,"Iowa","IA"
"IA",2006,14.40657043,"Iowa","IA"
"IA",2004,12.307024,"Iowa","IA"
"IA",2007,14.50025463,"Iowa","IA"
"IA",2005,12.9193964,"Iowa","IA"
"IA",2013,11.70932865,"Iowa","IA"
"IA",2002,11.29637623,"Iowa","IA"
